Date,Account,Category,Tags,Expense amount,Income amount,Currency,In main currency,Main currency,Description
12/05/13,Cash,lux food,,20.00,0,INR,20.00,INR,
12/05/13,Cash,naveen cosmetic,,660.00,0,INR,660.00,INR,
12/05/13,Cash,healthy food,,240.00,0,INR,240.00,INR,
12/05/13,Cash,naveen cosmetic,,"3,448.00",0,INR,"3,448.00",INR,
13/05/13,Cash,healthy food,,50.00,0,INR,50.00,INR,
13/05/13,Cash,medical,,188.00,0,INR,188.00,INR,
14/05/13,Cash,office snacks,,200.00,0,INR,200.00,INR,
15/05/13,Cash,mdu house money,,200.00,0,INR,200.00,INR,
15/05/13,Cash,healthy food,,240.00,0,INR,240.00,INR,
17/05/13,Cash,lux food,,144.00,0,INR,144.00,INR,
17/05/13,Cash,healthy food,,50.00,0,INR,50.00,INR,
18/05/13,Cash,healthy food,,130.00,0,INR,130.00,INR,
19/05/13,Cash,lux food,,6.00,0,INR,6.00,INR,
19/05/13,Cash,provision,,658.00,0,INR,658.00,INR,
19/05/13,Cash,San Mobile,,150.00,0,INR,150.00,INR,
19/05/13,Cash,healthy food,,75.00,0,INR,75.00,INR,
19/05/13,Cash,Household App,,573.00,0,INR,573.00,INR,
19/05/13,Cash,vegetable,,96.00,0,INR,96.00,INR,
20/05/13,Cash,medical,,33.00,0,INR,33.00,INR,
20/05/13,Cash,Hotel Food,,40.00,0,INR,40.00,INR,
20/05/13,Cash,Home Mobile,,108.00,0,INR,108.00,INR,
20/05/13,Cash,healthy food,,75.00,0,INR,75.00,INR,
20/05/13,Cash,provision,,40.00,0,INR,40.00,INR,
21/05/13,Cash,provision,,160.00,0,INR,160.00,INR,
21/05/13,Cash,Naveen Mobiles,,306.00,0,INR,306.00,INR,
21/05/13,Cash,travel,,"1,652.00",0,INR,"1,652.00",INR,
22/05/13,Cash,lux food,,35.00,0,INR,35.00,INR,
24/05/13,Cash,Outing,,300.00,0,INR,300.00,INR,
24/05/13,Cash,travel,,40.00,0,INR,40.00,INR,
24/05/13,Cash,travel,,40.00,0,INR,40.00,INR,
24/05/13,Cash,medical,,16.00,0,INR,16.00,INR,
24/05/13,Cash,Hotel Food,,36.00,0,INR,36.00,INR,
25/05/13,Cash,San Cosmetic,,"1,100.00",0,INR,"1,100.00",INR,
25/05/13,Cash,San Cosmetic,,850.00,0,INR,850.00,INR,
25/05/13,Cash,travel,,50.00,0,INR,50.00,INR,
25/05/13,Cash,lux food,,50.00,0,INR,50.00,INR,
25/05/13,Cash,naveen cosmetic,,350.00,0,INR,350.00,INR,
25/05/13,Cash,healthy food,,120.00,0,INR,120.00,INR,
26/05/13,Cash,travel,,22.00,0,INR,22.00,INR,
26/05/13,Cash,provision,,26.00,0,INR,26.00,INR,
26/05/13,Cash,healthy food,,240.00,0,INR,240.00,INR,
27/05/13,Cash,medical,,204.00,0,INR,204.00,INR,
27/05/13,Cash,mdu house money,,200.00,0,INR,200.00,INR,
27/05/13,Cash,Hotel Food,,12.00,0,INR,12.00,INR,
27/05/13,Cash,Income Blore Reimbruss,,"8,066.00",0,INR,"8,066.00",INR,
28/05/13,Cash,travel,,"1,184.00",0,INR,"1,184.00",INR,
28/05/13,Cash,MDU EB,,678.00,0,INR,678.00,INR,
28/05/13,Cash,Bike,,100.00,0,INR,100.00,INR,
29/05/13,Cash,healthy food,,120.00,0,INR,120.00,INR,
30/05/13,Cash,provision,,293.00,0,INR,293.00,INR,
30/05/13,Cash,lux food,,41.00,0,INR,41.00,INR,
30/05/13,Cash,medical,,869.00,0,INR,869.00,INR,
01/06/13,Cash,provision,,51.00,0,INR,51.00,INR,
01/06/13,Cash,Naveen Mobiles,,866.00,0,INR,866.00,INR,
01/06/13,Cash,Hotel Food,,100.00,0,INR,100.00,INR,
01/06/13,Cash,lux food,,155.00,0,INR,155.00,INR,
01/06/13,Cash,Bike,,360.00,0,INR,360.00,INR,
01/06/13,Cash,Amb Home,,"10,000.00",0,INR,"10,000.00",INR,
01/06/13,Cash,Credit Card,,"7,880.00",0,INR,"7,880.00",INR,
02/06/13,Cash,healthy food,,20.00,0,INR,20.00,INR,
02/06/13,Cash,provision,,100.00,0,INR,100.00,INR,
02/06/13,Cash,San Mobile,,184.00,0,INR,184.00,INR,
02/06/13,Cash,provision,,599.00,0,INR,599.00,INR,
02/06/13,Cash,healthy food,,80.00,0,INR,80.00,INR,
02/06/13,Cash,vegetable,,223.00,0,INR,223.00,INR,
02/06/13,Cash,healthy food,,151.00,0,INR,151.00,INR,
03/06/13,Cash,Household App,,700.00,0,INR,700.00,INR,
03/06/13,Cash,mdu house money,,200.00,0,INR,200.00,INR,
04/06/13,Cash,mdu house money,,400.00,0,INR,400.00,INR,
05/06/13,Cash,Household App,,294.00,0,INR,294.00,INR,
05/06/13,Cash,Bike,,100.00,0,INR,100.00,INR,
06/06/13,Cash,lux food,,40.00,0,INR,40.00,INR,
06/06/13,Cash,Hotel Food,,40.00,0,INR,40.00,INR,
06/06/13,Cash,Household App,,90.00,0,INR,90.00,INR,
07/06/13,Cash,mdu house money,,"1,500.00",0,INR,"1,500.00",INR,
08/06/13,Cash,Hotel Food,,60.00,0,INR,60.00,INR,
08/06/13,Cash,lux food,,198.00,0,INR,198.00,INR,
08/06/13,Cash,Outing,,258.00,0,INR,258.00,INR,
09/06/13,Cash,provision,,300.00,0,INR,300.00,INR,
09/06/13,Cash,healthy food,,125.00,0,INR,125.00,INR,
10/06/13,Cash,lux food,,70.00,0,INR,70.00,INR,
10/06/13,Cash,Bike,,100.00,0,INR,100.00,INR,
12/06/13,Cash,lux food,,30.00,0,INR,30.00,INR,
12/06/13,Cash,healthy food,,240.00,0,INR,240.00,INR,
12/06/13,Cash,provision,,235.00,0,INR,235.00,INR,
13/06/13,Cash,lux food,,30.00,0,INR,30.00,INR,
13/06/13,Cash,Hotel Food,,20.00,0,INR,20.00,INR,
15/06/13,Cash,lux food,,499.00,0,INR,499.00,INR,
15/06/13,Cash,healthy food,,125.00,0,INR,125.00,INR,
15/06/13,Cash,Hotel Food,,70.00,0,INR,70.00,INR,
15/06/13,Cash,travel,,452.00,0,INR,452.00,INR,
17/06/13,Cash,SBI LIFE INSUR,,"13,024.00",0,INR,"13,024.00",INR,
17/06/13,Cash,AMB EB,,"2,474.00",0,INR,"2,474.00",INR,
17/06/13,Cash,Hotel Food,,38.00,0,INR,38.00,INR,
17/06/13,Cash,medical,,388.00,0,INR,388.00,INR,
18/06/13,Cash,provision,,910.00,0,INR,910.00,INR,
18/06/13,Cash,Naveen Mobiles,,"1,010.00",0,INR,"1,010.00",INR,
18/06/13,Cash,Bike,,200.00,0,INR,200.00,INR,
19/06/13,Cash,San Mobile,,150.00,0,INR,150.00,INR,
19/06/13,Cash,Hotel Food,,115.00,0,INR,115.00,INR,
21/06/13,Cash,mdu house money,,100.00,0,INR,100.00,INR,
22/06/13,Cash,Hotel Food,,36.00,0,INR,36.00,INR,
22/06/13,Cash,healthy food,,57.00,0,INR,57.00,INR,
22/06/13,Cash,lux food,,40.00,0,INR,40.00,INR,
22/06/13,Cash,Entertainment,,230.00,0,INR,230.00,INR,
22/06/13,Cash,Household App,,"1,012.00",0,INR,"1,012.00",INR,
23/06/13,Cash,healthy food,,240.00,0,INR,240.00,INR,
23/06/13,Cash,medical,,200.00,0,INR,200.00,INR,
24/06/13,Cash,mdu house money,,"1,000.00",0,INR,"1,000.00",INR,
25/06/13,Cash,mdu house money,,130.00,0,INR,130.00,INR,
25/06/13,Cash,naveen cosmetic,,140.00,0,INR,140.00,INR,
25/06/13,Cash,lux food,,90.00,0,INR,90.00,INR,
25/06/13,Cash,healthy food,,70.00,0,INR,70.00,INR,
28/06/13,Cash,lux food,,127.00,0,INR,127.00,INR,
29/06/13,Cash,Household App,,62.00,0,INR,62.00,INR,
29/06/13,Cash,travel,,"1,245.00",0,INR,"1,245.00",INR,
29/06/13,Cash,travel,,172.00,0,INR,172.00,INR,
29/06/13,Cash,Hotel Food,,190.00,0,INR,190.00,INR,
29/06/13,Cash,naveen cosmetic,,630.00,0,INR,630.00,INR,
29/06/13,Cash,San Cosmetic,,288.00,0,INR,288.00,INR,
29/06/13,Cash,Household App,,60.00,0,INR,60.00,INR,
29/06/13,Cash,naveen cosmetic,,"1,204.00",0,INR,"1,204.00",INR,
29/06/13,Cash,San Cosmetic,,127.00,0,INR,127.00,INR,
30/06/13,Cash,healthy food,,125.00,0,INR,125.00,INR,
30/06/13,Cash,Hotel Food,,614.00,0,INR,614.00,INR,
30/06/13,Cash,provision,,"1,215.00",0,INR,"1,215.00",INR,
30/06/13,Cash,travel,,52.00,0,INR,52.00,INR,
01/07/13,Cash,provision,,980.00,0,INR,980.00,INR,
01/07/13,Cash,provision,,108.00,0,INR,108.00,INR,
01/07/13,Cash,mdu house money,,"1,000.00",0,INR,"1,000.00",INR,
01/07/13,Cash,Amb Home,,"10,000.00",0,INR,"10,000.00",INR,
01/07/13,Cash,Credit Card,,"28,568.00",0,INR,"28,568.00",INR,
02/07/13,Cash,provision,,54.00,0,INR,54.00,INR,
02/07/13,Cash,Household App,,100.00,0,INR,100.00,INR,
02/07/13,Cash,Hotel Food,,33.00,0,INR,33.00,INR,
02/07/13,Cash,healthy food,,135.00,0,INR,135.00,INR,
02/07/13,Cash,lux food,,20.00,0,INR,20.00,INR,
03/07/13,Cash,San Mobile,,184.00,0,INR,184.00,INR,
03/07/13,Cash,provision,,62.00,0,INR,62.00,INR,
04/07/13,Cash,Household App,,100.00,0,INR,100.00,INR,
06/07/13,Cash,Household App,,172.00,0,INR,172.00,INR,
06/07/13,Cash,healthy food,,190.00,0,INR,190.00,INR,
06/07/13,Cash,Household App,,120.00,0,INR,120.00,INR,
06/07/13,Cash,travel,,262.00,0,INR,262.00,INR,
06/07/13,Cash,Household App,,"2,300.00",0,INR,"2,300.00",INR,
06/07/13,Cash,Household App,,40.00,0,INR,40.00,INR,
07/07/13,Cash,provision,,92.00,0,INR,92.00,INR,
07/07/13,Cash,healthy food,,160.00,0,INR,160.00,INR,
07/07/13,Cash,medical,,375.00,0,INR,375.00,INR,
07/07/13,Cash,healthy food,,240.00,0,INR,240.00,INR,
07/07/13,Cash,provision,,68.00,0,INR,68.00,INR,
08/07/13,Cash,Bike,,100.00,0,INR,100.00,INR,
08/07/13,Cash,naveen cosmetic,,150.00,0,INR,150.00,INR,
08/07/13,Cash,mdu house money,,170.00,0,INR,170.00,INR,
09/07/13,Cash,Hotel Food,,35.00,0,INR,35.00,INR,
11/07/13,Cash,travel,,62.00,0,INR,62.00,INR,
11/07/13,Cash,Naveen Mobiles,,81.00,0,INR,81.00,INR,
16/07/13,Cash,Naveen Mobiles,,34.00,0,INR,34.00,INR,
16/07/13,Cash,travel,,966.00,0,INR,966.00,INR,
16/07/13,Cash,provision,,292.00,0,INR,292.00,INR,
16/07/13,Cash,medical,,61.00,0,INR,61.00,INR,
16/07/13,Cash,lux food,,170.00,0,INR,170.00,INR,
16/07/13,Cash,Hotel Food,,175.00,0,INR,175.00,INR,
16/07/13,Cash,San Pkt Money,,"6,500.00",0,INR,"6,500.00",INR,
20/07/13,Cash,lux food,,75.00,0,INR,75.00,INR,
20/07/13,Cash,Bike,,380.00,0,INR,380.00,INR,
20/07/13,Cash,Hotel Food,,460.00,0,INR,460.00,INR,
20/07/13,Cash,Entertainment,,94.00,0,INR,94.00,INR,
20/07/13,Cash,medical,,130.00,0,INR,130.00,INR,
20/07/13,Cash,naveen cosmetic,,435.00,0,INR,435.00,INR,
26/07/13,Cash,Bike,,100.00,0,INR,100.00,INR,
26/07/13,Cash,healthy food,,30.00,0,INR,30.00,INR,
26/07/13,Cash,provision,,137.00,0,INR,137.00,INR,
26/07/13,Cash,Hotel Food,,410.00,0,INR,410.00,INR,
26/07/13,Cash,Naveen Mobiles,,178.00,0,INR,178.00,INR,
26/07/13,Cash,lux food,,305.00,0,INR,305.00,INR,
31/07/13,Cash,provision,,238.00,0,INR,238.00,INR,
31/07/13,Cash,healthy food,,440.00,0,INR,440.00,INR,
31/07/13,Cash,lux food,,33.00,0,INR,33.00,INR,
31/07/13,Cash,Hotel Food,,170.00,0,INR,170.00,INR,
31/07/13,Cash,Naveen Mobiles,,74.00,0,INR,74.00,INR,
31/07/13,Cash,mdu house money,,300.00,0,INR,300.00,INR,
31/07/13,Cash,Amb Home,,570.00,0,INR,570.00,INR,
31/07/13,Cash,mdu house money,,300.00,0,INR,300.00,INR,
31/07/13,Cash,San Mobile,,258.00,0,INR,258.00,INR,
31/07/13,Cash,MDU EB,,670.00,0,INR,670.00,INR,
31/07/13,Cash,Naveen Mobiles,,"1,010.00",0,INR,"1,010.00",INR,
31/07/13,Cash,travel,,150.00,0,INR,150.00,INR,
15/08/13,Cash,lux food,,172.00,0,INR,172.00,INR,
16/08/13,Cash,lux food,,65.00,0,INR,65.00,INR,
16/08/13,Cash,Hotel Food,,30.00,0,INR,30.00,INR,
16/08/13,Cash,medical,,160.00,0,INR,160.00,INR,
16/08/13,Cash,mdu house money,,"2,200.00",0,INR,"2,200.00",INR,
16/08/13,Cash,provision,,90.00,0,INR,90.00,INR,
16/08/13,Cash,Household App,,20.00,0,INR,20.00,INR,
16/08/13,Cash,Knowledge,,"1,064.00",0,INR,"1,064.00",INR,
16/08/13,Cash,Bike,,200.00,0,INR,200.00,INR,
16/08/13,Cash,provision,,"2,423.00",0,INR,"2,423.00",INR,
16/08/13,Cash,San Cosmetic,,230.00,0,INR,230.00,INR,
16/08/13,Cash,naveen cosmetic,,60.00,0,INR,60.00,INR,
16/08/13,Cash,healthy food,,820.00,0,INR,820.00,INR,
16/08/13,Cash,lux food,,458.00,0,INR,458.00,INR,
16/08/13,Cash,Hotel Food,,218.00,0,INR,218.00,INR,
16/08/13,Cash,office snacks,,300.00,0,INR,300.00,INR,
16/08/13,Cash,Household App,,625.00,0,INR,625.00,INR,
16/08/13,Cash,medical,,260.00,0,INR,260.00,INR,
16/08/13,Cash,travel,,510.00,0,INR,510.00,INR,
16/08/13,Cash,Gold Gms,,15.00,0,INR,15.00,INR,
19/08/13,Cash,AMB EB,,"1,203.00",0,INR,"1,203.00",INR,
19/08/13,Cash,Hotel Food,,35.00,0,INR,35.00,INR,
19/08/13,Cash,provision,,60.00,0,INR,60.00,INR,
19/08/13,Cash,Hotel Food,,45.00,0,INR,45.00,INR,
20/08/13,Cash,Bike,,100.00,0,INR,100.00,INR,
20/08/13,Cash,lux food,,30.00,0,INR,30.00,INR,
21/08/13,Cash,medical,,380.00,0,INR,380.00,INR,
22/08/13,Cash,provision,,200.00,0,INR,200.00,INR,
22/08/13,Cash,lux food,,15.00,0,INR,15.00,INR,
23/08/13,Cash,lux food,,15.00,0,INR,15.00,INR,
24/08/13,Cash,lux food,,50.00,0,INR,50.00,INR,
24/08/13,Cash,medical,,158.00,0,INR,158.00,INR,
24/08/13,Cash,San Cosmetic,,253.00,0,INR,253.00,INR,
24/08/13,Cash,provision,,113.00,0,INR,113.00,INR,
24/08/13,Cash,healthy food,,503.00,0,INR,503.00,INR,
24/08/13,Cash,naveen cosmetic,,556.00,0,INR,556.00,INR,
25/08/13,Cash,lux food,,31.00,0,INR,31.00,INR,
25/08/13,Cash,healthy food,,130.00,0,INR,130.00,INR,
25/08/13,Cash,provision,,54.00,0,INR,54.00,INR,
25/08/13,Cash,San Mobile,,150.00,0,INR,150.00,INR,
26/08/13,Cash,lux food,,15.00,0,INR,15.00,INR,
27/08/13,Cash,provision,,"1,134.00",0,INR,"1,134.00",INR,
27/08/13,Cash,Non-Food Prov,,59.00,0,INR,59.00,INR,
27/08/13,Cash,Naveen Mobiles,,150.00,0,INR,150.00,INR,
27/08/13,Cash,lux food,,30.00,0,INR,30.00,INR,
28/08/13,Cash,Non-Food Prov,,10.00,0,INR,10.00,INR,
28/08/13,Cash,lux food,,10.00,0,INR,10.00,INR,
28/08/13,Cash,healthy food,,130.00,0,INR,130.00,INR,
28/08/13,Cash,Bike,,100.00,0,INR,100.00,INR,
29/08/13,Cash,naveen cosmetic,,140.00,0,INR,140.00,INR,
29/08/13,Cash,mdu house money,,700.00,0,INR,700.00,INR,
29/08/13,Cash,Hotel Food,,40.00,0,INR,40.00,INR,
30/08/13,Cash,Hotel Food,,15.00,0,INR,15.00,INR,
30/08/13,Cash,Hotel Food,,30.00,0,INR,30.00,INR,
31/08/13,Cash,Amb Home,,"10,000.00",0,INR,"10,000.00",INR,
31/08/13,Cash,lux food,,30.00,0,INR,30.00,INR,
31/08/13,Cash,Naveen Mobiles,,"1,124.00",0,INR,"1,124.00",INR,
31/08/13,Cash,Household App,,"1,000.00",0,INR,"1,000.00",INR,
31/08/13,Cash,mdu house money,,500.00,0,INR,500.00,INR,
31/08/13,Cash,Household App,,30.00,0,INR,30.00,INR,
31/08/13,Cash,lux food,,10.00,0,INR,10.00,INR,
31/08/13,Cash,medical,,"1,185.00",0,INR,"1,185.00",INR,
31/08/13,Cash,provision,,154.00,0,INR,154.00,INR,
31/08/13,Cash,Credit Card,,"9,116.00",0,INR,"9,116.00",INR,
31/08/13,Cash,lux food,,31.00,0,INR,31.00,INR,
01/09/13,Cash,lux food,,40.00,0,INR,40.00,INR,
01/09/13,Cash,Knowledge,,611.00,0,INR,611.00,INR,
01/09/13,Cash,healthy food,,160.00,0,INR,160.00,INR,
01/09/13,Cash,healthy food,,320.00,0,INR,320.00,INR,
01/09/13,Cash,provision,,38.00,0,INR,38.00,INR,
02/09/13,Cash,lux food,,35.00,0,INR,35.00,INR,
02/09/13,Cash,Bike,,200.00,0,INR,200.00,INR,
03/09/13,Cash,lux food,,50.00,0,INR,50.00,INR,
04/09/13,Cash,lux food,,50.00,0,INR,50.00,INR,
04/09/13,Cash,lux food,,35.00,0,INR,35.00,INR,
04/09/13,Cash,Hotel Food,,107.00,0,INR,107.00,INR,
04/09/13,Cash,Home Mobile,,108.00,0,INR,108.00,INR,
04/09/13,Cash,Household App,,190.00,0,INR,190.00,INR,
04/09/13,Cash,mdu house money,,100.00,0,INR,100.00,INR,
04/09/13,Cash,San Mobile,,150.00,0,INR,150.00,INR,
05/09/13,Cash,lux food,,212.00,0,INR,212.00,INR,
05/09/13,Cash,healthy food,,150.00,0,INR,150.00,INR,
05/09/13,Cash,Hotel Food,,20.00,0,INR,20.00,INR,
05/09/13,Cash,lux food,,40.00,0,INR,40.00,INR,
06/09/13,Cash,Hotel Food,,40.00,0,INR,40.00,INR,
07/09/13,Cash,Household App,,220.00,0,INR,220.00,INR,
07/09/13,Cash,Household App,,30.00,0,INR,30.00,INR,
07/09/13,Cash,lux food,,24.00,0,INR,24.00,INR,
07/09/13,Cash,Hotel Food,,40.00,0,INR,40.00,INR,
07/09/13,Cash,lux food,,50.00,0,INR,50.00,INR,
07/09/13,Cash,San Cosmetic,,380.00,0,INR,380.00,INR,
08/09/13,Cash,Household App,,35.00,0,INR,35.00,INR,
08/09/13,Cash,Hotel Food,,60.00,0,INR,60.00,INR,
08/09/13,Cash,San Cosmetic,,80.00,0,INR,80.00,INR,
08/09/13,Cash,Household App,,365.00,0,INR,365.00,INR,
08/09/13,Cash,provision,,37.00,0,INR,37.00,INR,
09/09/13,Cash,medical,,24.00,0,INR,24.00,INR,
09/09/13,Cash,Household App,,20.00,0,INR,20.00,INR,
09/09/13,Cash,lux food,,146.00,0,INR,146.00,INR,
09/09/13,Cash,vegetable,,55.00,0,INR,55.00,INR,
09/09/13,Cash,naveen cosmetic,,56.00,0,INR,56.00,INR,
09/09/13,Cash,Household App,,60.00,0,INR,60.00,INR,
10/09/13,Cash,healthy food,,200.00,0,INR,200.00,INR,
11/09/13,Cash,travel,,22.00,0,INR,22.00,INR,
11/09/13,Cash,provision,,10.00,0,INR,10.00,INR,
11/09/13,Cash,Household App,,"1,600.00",0,INR,"1,600.00",INR,
11/09/13,Cash,lux food,,57.00,0,INR,57.00,INR,
11/09/13,Cash,Household App,,850.00,0,INR,850.00,INR,
11/09/13,Cash,Household App,,200.00,0,INR,200.00,INR,
11/09/13,Cash,lux food,,45.00,0,INR,45.00,INR,
11/09/13,Cash,Hotel Food,,30.00,0,INR,30.00,INR,
11/09/13,Cash,travel,,34.00,0,INR,34.00,INR,
11/09/13,Cash,lux food,,729.00,0,INR,729.00,INR,
12/09/13,Cash,Household App,,220.00,0,INR,220.00,INR,
12/09/13,Cash,lux food,,36.00,0,INR,36.00,INR,
12/09/13,Cash,Household App,,210.00,0,INR,210.00,INR,
12/09/13,Cash,Hotel Food,,150.00,0,INR,150.00,INR,
12/09/13,Cash,Household App,,"2,350.00",0,INR,"2,350.00",INR,
12/09/13,Cash,Household App,,230.00,0,INR,230.00,INR,
12/09/13,Cash,Household App,,51.00,0,INR,51.00,INR,
12/09/13,Cash,lux food,,57.00,0,INR,57.00,INR,
13/09/13,Cash,travel,,"1,806.00",0,INR,"1,806.00",INR,
13/09/13,Cash,lux food,,50.00,0,INR,50.00,INR,
